,,,,Marketwise Price & Arrival Report (03-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Jan, 2026","Price on 02 Jan, 2026","Price on 01 Jan, 2026","Arrival on 03 Jan, 2026","Arrival on 02 Jan, 2026","Arrival on 01 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1995.39,1987.42,1982.69,28.05,34.54,9.57
Cereals,Barley(Jau),1980.00,2134.96,2371.18,2344.11,6.06,58.56,40.34
Cereals,Jowar(Sorghum),3699.00,6308.54,4398.94,5098.56,17.75,124.82,88.13
Cereals,Maize,2400.00,1590.44,1630.05,1587.91,24244.23,37479.30,15742.48
Cereals,Paddy(Common),2369.00,3570.17,3543.77,3602.65,19066.80,25217.72,13656.57
Cereals,Wheat,2425.00,2613.12,2605.11,2601.12,8876.63,11773.85,6574.28
Fibre Crops,Cotton,7710.00,7231.92,7341.75,7359.27,3095.19,3802.57,2915.71
Oil Seeds,Groundnut,7263.00,5283.16,6449.14,6216.64,227.62,211.64,227.48
Oil Seeds,Mustard,5950.00,6448.43,6482.52,6549.36,309.23,327.83,107.02
Oil Seeds,Niger Seed(Ramtil),9537.00,-,-,9800.00,-,-,2.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9373.58,9368.30,12597.66,8.20,2.44,9.79
Oil Seeds,Soyabean,5328.00,4654.63,4621.36,4864.38,9944.94,10460.30,2142.17
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6757.28,6577.88,6712.55,370.02,462.31,330.49
Pulses,Bengal Gram(Gram)(Whole),5650.00,5091.76,5289.28,5257.63,738.31,1077.73,628.31
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6736.58,6798.52,7031.68,213.46,320.96,151.61
Pulses,Green Gram(Moong)(Whole),8768.00,7548.23,6748.71,6175.69,20.46,31.69,11.95
Pulses,Lentil(Masur)(Whole),6700.00,6123.54,6202.09,6065.41,176.40,227.76,37.00
Vegetables,Onion,-,1133.99,1249.93,1167.43,4069.14,5093.36,4345.38
Vegetables,Potato,-,1031.76,698.74,1388.68,470.44,361.97,379.73
Vegetables,Tomato,-,-,-,450.00,-,-,40.10

